 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
270854,POWERTON,B,345,=,273,STA03 45B3,345,BG,JQ,,,,
270854,POWERTON,B,345,=,274,STA03 45B4,345,BG,JQ,,,,
270854,POWERTON,B,345,=,276,STA03 45B6,345,BG,JQ,,,,
270855,POWERTON,R,345,=,278,STA03 45B8,345,BG,JQ,,,,
270855,POWERTON,R,345,=,279,STA03 45B9,345,BG,JQ,,,,
270855,POWERTON,R,345,=,280,STA03 45B10,345,BG,JQ,,,,
270855,POWERTON,R,345,=,281,STA03 45B11,345,BG,JQ,,,,
,,,,,,,,,,,,,
270864,QUAD 1 3-11,,345,=,223,BUS_2 & 3,345,BG,JQ,,,,
270864,QUAD 1 3-11,,345,=,224,BUS_4,345,BG,JQ,,,,
270864,QUAD 1 3-11,,345,=,221,BUS_1,345,BG,JQ,,,,
270864,QUAD 1 3-11,,345,=,231,BUS_11,345,BG,JQ,,,,
270866,QUAD 6-7,,345,=,226,BUS_5 & 6,345,BG,JQ,,,,
270866,QUAD 6-7,,345,=,227,BUS_7,345,BG,JQ,,,,
270867,QUAD 8-10,,345,=,228,BUS_8,345,BG,JQ,,,,
270867,QUAD 8-10,,345,=,229,BUS_9,345,BG,JQ,,,,
270867,QUAD 8-10,,345,=,230,BUS_10,345,BG,JQ,,,,
,,,,,,,,,,,,,
270678,BYRON,B,345,=,253,BUS_3,345,BG,JQ,,,,
270678,BYRON,B,345,=,254,BUS_4,345,BG,JQ,,,,
270678,BYRON,B,345,=,255,BUS_5,345,BG,JQ,,,,
270678,BYRON,B,345,=,256,BUS_6,345,BG,JQ,,,,
270678,BYRON,B,345,=,53307,Bus_8,345,BG,JQ,,,,
270678,BYRON,B,345,=,53008,Bus_8,345,BG,JQ,,,,
270679,BYRON,R,345,=,260,BUS_10,345,BG,JQ,,,,
270679,BYRON,R,345,=,261,BUS_11,345,BG,JQ,,,,
270679,BYRON,R,345,=,262,BUS_12,345,BG,JQ,,,,
270679,BYRON,R,345,=,263,BUS_13,345,BG,JQ,,,,
,,,,,,,,,,,,,
270888,STATELINE,B,345,=,329,STLINBUS,345,BG,JQ,,,,
270889,STATELINE,R,345,=,330,STLINBUS,345,BG,JQ,,,,
,,,,,,,,,,,,,
274768,LEE CO EC,BP,345,=,258,SDixon HS345,345,BG,JQ,,,,
,,,,,,,,,,,,,
270673,BROKAW,T,345,=,3002,BROKAW,345,BG,JQ,,,,
,,,,,,,,,,,,,
270743,ESS W407K,9T,345,=,3015,FRMLB,345,BG,JQ,,,,
270745,ESS W407K,R,345,=,3015,FRMLB,345,BG,JQ,,,,
270747,ESS W407K,0T,345,=,3015,FRMLB,345,BG,JQ,,,,
,,,,,,,,,,,,,
270749,ESS W407M,R,345,=,105,NAL 345,345,BG,JQ,,,,
270751,ESS W407M,9T,345,=,105,NAL 345,345,BG,JQ,,,,
270753,ESS W407M,0T,345,=,105,NAL 345,345,BG,JQ,,,,
,,,,,,,,,,,,,
270771,GREENACRE,T,345,=,198,GRNACRES,345,BG,JQ,,,,
,,,,,,,,,,,,,
270804,LATHAM,T,345,=,3003,LATHAM,345,BG,JQ,,,,
270804,LATHAM,T,345,=,5141,LATHAM,345,BG,JQ,,,,
,,,,,,,,,,,,,
270851,PL VALLEY,R,345,=,1046,PLSNTVLY345,345,BG,JQ,,,,
,,,,,,,,,,,,,
270886,ST JOHN,T,345,=,197,ST JOHN,345,BG,JQ,,,,
270886,ST JOHN,T,345,=,5184,ST. JOHN,345,BG,JQ,,,,
,,,,,,,,,,,,,
270890,ESS H471,,345,=,145,STRLNGST45B2,345,BG,JQ,,,,
270890,ESS H471,,345,=,158,STRLNGST45B3,345,BG,JQ,,,,
270890,ESS H471,,345,=,215,STRLNGST45B1,345,BG,JQ,,,,
,,,,,,,,,,,,,
270763,GARFIELD,R,345,=,3025,L17724T,345,RC,TK,,,,
270763,GARFIELD,R,345,=,3027,GRFIELD,345,RC,TK,,,,
270762,GARFIELD,B,345,=,3024,L17723T,345,RC,TK,,,,
270762,GARFIELD,B,345,=,3026,GRFIELD,345,RC,TK,,,,
,,,,,,,,,,,,,
347962,7PAWNEE,,345,=,175,PAWNEE,345,RC,TK,,,,
,,,,,,,,,,,,,
270607,COLLINS,,765,=,5165,COLLNS92,765,RC,TK,,,,
,,,,,,,,,,,,,
NA,,,,,886600,ARCADIAN2,345,RC,TK,Other utility side has no corresponding PSSE bus,,,
NA,,,,,925300,ARCADIAN1,345,RC,TK,Other utility side has no corresponding PSSE bus,,,
,,,,,,,,,,,,,
